iteration,reward_mean,length_mean,games,loss
86000,8.62,11.62,8,0.029367871582508087
87000,5.0,8.0,8,0.15391898155212402
88000,9.0,12.0,8,0.11627904325723648
89000,10.25,13.25,8,0.08946051448583603
90000,7.62,10.62,8,0.028598248958587646
91000,9.38,12.38,8,0.04337768256664276
92000,4.75,7.75,8,0.03862494230270386
93000,6.62,9.62,8,0.02736826241016388
94000,6.5,9.5,8,0.1639372706413269
95000,9.5,12.5,8,0.04106391966342926
96000,7.25,10.25,8,0.04800639674067497
97000,9.62,12.62,8,0.04595539718866348
98000,7.0,10.0,8,0.03233935683965683
99000,8.0,11.0,8,0.11534635722637177
100000,9.62,12.62,8,0.03322518616914749
101000,8.25,11.25,8,0.05205846577882767
102000,8.12,11.12,8,0.05311623960733414
103000,7.38,10.38,8,0.08206544816493988
104000,7.0,10.0,8,0.029896315187215805
105000,6.88,9.88,8,0.16325679421424866
106000,8.62,11.62,8,0.03016529604792595
107000,12.25,15.25,8,0.05950717255473137
108000,12.38,15.38,8,0.031437020748853683
109000,10.62,13.62,8,0.033556271344423294
110000,8.88,11.88,8,0.039265528321266174
111000,15.25,18.25,8,0.06782430410385132
112000,6.12,9.12,8,0.0340552031993866
113000,9.62,12.62,8,0.11596281081438065
114000,6.25,9.25,8,0.02401306852698326
115000,9.38,12.38,8,0.033718474209308624
116000,11.25,14.25,8,0.12186704576015472
117000,11.38,14.38,8,0.05030384287238121
118000,8.0,11.0,8,0.03071434609591961
119000,14.62,17.62,8,0.19654345512390137
120000,8.38,11.38,8,0.07359887659549713
121000,11.12,14.12,8,0.037359777837991714
122000,11.62,14.62,8,0.05254299193620682
123000,9.25,12.25,8,0.050145313143730164
124000,12.62,15.62,8,0.30140918493270874
125000,10.78,13.78,9,0.05065356194972992
126000,11.12,14.12,8,0.052435968071222305
127000,12.88,15.88,8,0.08048569411039352
128000,9.75,12.75,8,0.04386373236775398
129000,10.38,13.38,8,0.055798254907131195
130000,10.75,13.75,8,0.042063094675540924
131000,10.25,13.25,8,0.08947841823101044
132000,12.88,15.88,8,0.06578774005174637
133000,13.5,16.5,8,0.07371003925800323
134000,11.5,14.5,8,0.032154686748981476
135000,10.11,13.11,9,0.05301632359623909
136000,15.5,18.5,8,0.09513311088085175
137000,7.62,10.62,8,0.03865165635943413
138000,12.5,15.5,8,0.04306858777999878
139000,7.12,10.12,8,0.05423429608345032
140000,11.0,14.0,8,0.033032551407814026
141000,9.88,12.88,8,0.059582777321338654
142000,12.62,15.62,8,0.05480790138244629
143000,13.25,16.25,8,0.08099227398633957
144000,15.5,18.5,8,0.03912102431058884
145000,8.38,11.38,8,0.03502119332551956
146000,14.62,17.62,8,0.08428710699081421
147000,5.88,8.88,8,0.03607434406876564
